District,Crop,Soil Type,Rainfall_mm,Temperature_C,Soil_pH,Humidity_%
Chikkamagalur,Pepper,Laterite,1402,24.4635921834296,6.347895365853455,79
Mysore,Vegetables,Red Sandy Loam,1000,25.0,6.5,70
Tumkur,Pulses,Red Sandy Loam,670,23.980030303075534,6.43802179635033,58
Bellary,Pulses,Red Sandy Loam,959,27.85561293497447,6.521173724913537,56
Mysore,Sugarcane,Red Loamy,1197,29.835323589812326,6.83957615389247,60
Chikkamagalur,Arecanut,Laterite,2436,27.971617030856912,6.393509971393318,77
Belagavi,Sugarcane,Red Loamy,1295,29.95553734270043,6.227970273711077,60
Bellary,Pulses,Red Sandy Loam,891,24.463482472423017,6.06325340889868,72
Raichur,Paddy,Black Soil,1463,31.870275929552783,5.565150035853456,70
Gulbarga,Pulses,Red Sandy Loam,674,30.644029871943978,6.309368562080013,54
Mandya,Paddy,Black Soil,1365,27.353914169047325,6.027564726938213,75
Chikkamagalur,Arecanut,Laterite,2410,28.424297286139776,5.915261437572821,79
Gulbarga,Cotton,Black Soil,625,31.618603122150056,6.533294695728012,59
Koppal,Paddy,Black Soil,1469,24.223735643242147,5.505871158603086,73
Mysore,Sugarcane,Red Loamy,1009,30.543707954793227,7.394882644718497,78
Belagavi,Maize,Laterite,1151,25.985589756493482,6.438667772031575,72
Shimoga,Arecanut,Laterite,1498,22.100622499889564,5.6539632386665035,83
Kodagu,Arecanut,Laterite,1663,24.329571639972993,6.272267556837506,74
Hassan,Pepper,Laterite,1364,22.21094195229101,5.862605628628122,75
Gulbarga,Pulses,Red Sandy Loam,980,31.615437228811096,6.80726164932625,69
Shimoga,Arecanut,Laterite,1704,25.333088299310006,5.655008667416754,74
Belagavi,Maize,Laterite,788,23.42303836368503,6.888533288524485,56
Mandya,Paddy,Black Soil,1266,31.109770500150955,6.458943208998186,71
Raichur,Cotton,Black Soil,920,33.82205737226991,6.650832072728219,64
Kodagu,Arecanut,Laterite,1640,27.799449580156953,5.614183780237132,78
Hassan,Pepper,Laterite,1767,22.008570058475062,5.674375029380394,78
Mysore,Vegetables,Red Sandy Loam,1000,25.0,6.5,70
Koppal,Pulses,Red Sandy Loam,608,24.868466456472,6.280455064760055,68
Shimoga,Arecanut,Laterite,2193,28.342720362188217,6.405756790636448,83
Belagavi,Maize,Laterite,1034,24.114398022190038,6.287241347974841,58
Gulbarga,Cotton,Black Soil,803,29.298312575130026,6.430886542315601,59
Bidar,Cotton,Black Soil,726,34.89279945106385,6.082117473389393,67
Mandya,Vegetables,Red Sandy Loam,1000,25.0,6.5,70
Bidar,Cotton,Black Soil,870,28.15935822385637,7.093860373646352,59
Hassan,Coffee,Red Sandy Loam,2045,24.44074701439621,6.2758702959598995,71
Hassan,Coffee,Red Sandy Loam,1765,20.428031273183617,5.597718143163822,70
Bidar,Oilseeds,Black Soil,840,26.037293491459575,6.998195054477786,62
Udupi,Paddy,Black Soil,1168,24.888167049839286,6.369708017750194,74
Chikkamagalur,Coffee,Red Sandy Loam,1622,24.3071962475593,6.227156252482622,78
Dharwad,Maize,Laterite,904,24.53175027249199,6.773995087294009,71
Udupi,Paddy,Black Soil,929,25.177930246982182,5.853348901891752,67
Tumkur,Pulses,Red Sandy Loam,814,30.001526483917505,6.932129099780653,59
Gulbarga,Cotton,Black Soil,925,27.341026649706407,6.089887732981622,59
Shimoga,Paddy,Black Soil,1383,32.38389966395868,5.633514602344013,76
Bellary,Pulses,Red Sandy Loam,645,25.63322572086224,6.390287908663137,55
Udupi,Arecanut,Laterite,1828,24.310715315820108,6.085604167839508,71
Tumkur,Pulses,Red Sandy Loam,929,29.452414861724414,6.514452434401539,63
Chikkamagalur,Pepper,Laterite,1753,23.859193896450908,5.761263641703997,75
Gulbarga,Cotton,Black Soil,710,34.31490386918926,7.3626151609028545,68
Mandya,Paddy,Black Soil,1276,29.65162861808617,5.912785317660213,72
Udupi,Arecanut,Laterite,1865,23.809212798416947,6.37283023415332,84
Dharwad,Cotton,Black Soil,768,27.006320901465735,7.072705165216764,51
Koppal,Paddy,Black Soil,1467,26.37577967738847,6.1412613363889745,66
Bellary,Maize,Laterite,996,25.826269340088345,6.180636697941315,62
Dharwad,Maize,Laterite,804,22.078235042446096,6.0751229101545094,58
Chikkamagalur,Arecanut,Laterite,1337,22.039075728162015,6.436661304584681,81
Raichur,Paddy,Black Soil,1263,28.34569288484652,6.489036080918266,73
Chikkamagalur,Coffee,Red Sandy Loam,1773,24.679195426915133,6.133829569351724,70
Mysore,Vegetables,Red Sandy Loam,1000,25.0,6.5,70
Dharwad,Cotton,Black Soil,785,28.200595641835825,6.632661362904189,68
Bellary,Maize,Laterite,702,24.100082323865326,6.052347178431313,71
Belagavi,Maize,Laterite,841,28.811913453172373,6.483066245193303,66
Bidar,Oilseeds,Black Soil,875,25.722874262836868,6.2918671770364,60
Belagavi,Sugarcane,Red Loamy,1071,28.922782725028593,6.617919822918395,71
Udupi,Paddy,Black Soil,1235,29.09299744591583,6.423328934789769,77
Raichur,Paddy,Black Soil,1315,29.842385683477854,6.547105819605102,70
Dharwad,Maize,Laterite,738,25.416899571354673,6.128754437368055,73
Mandya,Sugarcane,Red Loamy,976,26.53807339485494,7.14945610667835,69
Gulbarga,Cotton,Black Soil,804,33.119677423908016,7.300728226501683,65
Belagavi,Sugarcane,Red Loamy,1251,26.322945699888166,7.323352621531148,72
Gulbarga,Jowar,Black Soil,802,24.16097377482459,7.129090706738964,60
Bellary,Maize,Laterite,824,28.55518584773194,6.359824900636567,70
Udupi,Paddy,Black Soil,976,30.323666187941242,6.933970088239109,83
Mysore,Paddy,Black Soil,1131,29.77899211522969,5.947225534414834,78
Gulbarga,Pulses,Red Sandy Loam,900,28.60469721364431,6.470816419365898,69
Dharwad,Cotton,Black Soil,663,25.606830689506822,6.620013689806788,61
Udupi,Paddy,Black Soil,1363,30.941187666298603,5.558219421717703,66
Mysore,Paddy,Black Soil,1357,26.93131990419932,6.2088637795657835,69
Hassan,Coffee,Red Sandy Loam,2356,24.438662538371776,5.553481418986634,82
Belagavi,Maize,Laterite,970,24.790089979168705,6.693876535321616,68
Belagavi,Cotton,Black Soil,960,29.556256153552003,7.058638576555477,56
Kodagu,Coffee,Red Sandy Loam,2230,23.290801119015963,5.587997065833723,74
Hassan,Pepper,Laterite,1256,24.323099644935606,5.519162750246611,84
